nombre_institucion,tipo_de_institucion,cuit,municipio_comuna_dom_real,departamento,telefono_principal_cod_area_sin_cero_y_telefono_sin_el_15,telefono_secundario_cod_area_sin_cero_y_telefono_sin_el_15,e_mail,calle_dom_real,nro_dom_real,denominacion_sede_anexo,direccion_anexo,pagina_web,red_social_intagram,red_social_facebook,disciplinas,deporte_adaptado,infraestructura_adaptada_para_accesibilidad,latitud,longitud,tipo_de_espacios_deportivos
CLUB DEPORTIVO JUVENTUD UNIDA,CLUB DEPORTIVO,3.0528120446E10,GUALEGUAYCHÚ,GUALEGUAYCHÚ,3.446431322E9,,,ALSINA,60.0,Predio Club Juventud Unida,C.5669 a 90m de C.63,,@cdju_oficial,Juventud Unida Gualeguaychu,"Futsal, Tenis, Hockey césped, Voley, Fútbol, Básquet, Handball",SI,"ACCESO ADECUADO, PUERTAS ACCESIBLES, DÁRSENA DE LLEGADA, ESCALERAS ACCESIBLES",-33.00778,-58.528,"Cancha de Fútbol, Otros, Cancha Techada, cancha de tenis"
RACING CLUB,CLUB DEPORTIVO,3.3653440249E10,GUALEGUAYCHÚ,GUALEGUAYCHÚ,3.44642412E9,3.446432241E9,simonghiglione@hotmail.com,COLOMBO,837.0,,,www.racingclubgualeguaychu.com/,racinggchu,Club Racing Gchu Oficial,"Básquet , Fútbol, Voley",NO,"PUERTAS ACCESIBLES, DÁRSENA DE LLEGADA, ANCHO DE PASILLOS, ESCALERAS ACCESIBLES",-33.00662,-58.51617,"Cancha Techada, cancha de basquet, SUM"
TIRO FEDERAL GUALEGUAYCHU,CLUB DEPORTIVO,3.0611300901E10,GUALEGUAYCHÚ,GUALEGUAYCHÚ,3.446422672E9,3.446422672E9,tiro_federalgchu@yahoo.com.ar,BOLEVAR DE LEON,100.0,,,www.tirofederalgchu.com/web/,@tirofederalgualeguaychu,Tiro Federal Gchu,"Tenis, Básquet , Náuticos, Bochas, Pelota paleta, Gimnasia Artística",SIN DATOS,SIN DATOS,-33.00623,-58.5012,"Otros, cancha de tenis, Gimnasio, cancha de padel, SUM"
CLUB SOCIAL Y DEPORTIVO BLACK RIVER,CLUB DEPORTIVO,3.0659135015E10,GUALEGUAYCHÚ,GUALEGUAYCHÚ,3.446427788E9,3.446432975E9,blackrivergchu@hotmail.com,COLOMBO,348.0,,,,@black.river,Black River Oficial,"Fútbol, Básquet, Tenis",SIN DATOS,SIN DATOS,-33.006017642898,-58.5075008623272,"Cancha de Fútbol, cancha de padel, SUM"
CLUB ATLÉTICO INDEPENDIENTE DE GUALEGUAYCHÚ,CLUB DEPORTIVO,3.0671042391E10,GUALEGUAYCHÚ,GUALEGUAYCHÚ,436429.0,427914.0,disciplinasrojas@gmail.com,SEGUÍ,240.0,,,,@caigualeguaychu,Club Atletico Independiente Gchu,"Fútbol, Hockey césped, Patinaje artístico, Voley",NO,"DÁRSENA DE LLEGADA, ACCESO ADECUADO, PUERTAS ACCESIBLES, ANCHO DE PASILLOS, SANITARIOS ACCESIBLES",-33.00516,-58.51582,"Cancha de Fútbol, Cancha Techada, Cancha de Hockey, Otros"
CLUB SOCIAL Y DEPORTIVO SUD AMÉRICA,CLUB DEPORTIVO,3.0659057359E10,GUALEGUAYCHÚ,GUALEGUAYCHÚ,3.446330919E9,3.446359882E9,clubsydsudamerica@gmail.com,BELGRANO Y SAN JUAN,S/N,,,,@club.suda,Club Social y Deportivo Sud America,"Básquet , Fútbol, Hockey sobre patines, Artes Marciales/deportes de contacto, Gimnasia Artística, Patinaje artístico",SIN DATOS,SIN DATOS,-33.0051,-58.51036,"Cancha de Fútbol, Cancha Techada, cancha de basquet, Cancha de Hockey, Gimnasio"
"ASOCIACIÓN CIVIL,SOCIAL,CULTURAL Y DEPORTIVA LA RIBERA",CLUB DEPORTIVO,3.0715397583E10,GUALEGUAYCHÚ,GUALEGUAYCHÚ,3.446431211E9,3.446501646E9,luciabargas81@hotmail.com,SAN JUAN AL ESTE,75.0,,,,,Club La Ribera,"Fútbol, Voley, Hockey césped",SIN DATOS,SIN DATOS,-33.0048213431916,-58.4996288239456,Cancha de Fútbol
ESTADIO MUNICIPAL DE GUALEGUAYCHU,POLIDEPORTIVO MUNICIPAL,SIN CUIT 061,GUALEGUAYCHÚ,GUALEGUAYCHÚ,3.4464204E9,,,,,Estadio de futbol municipal,Santa Fe y Rioja,https://gualeguaychu.gov.ar/,@munigchu,,"Fútbol, Natación, Rugby, Atletismo",SIN DATOS,SIN DATOS,-33.00427,-58.5227,"Cancha de Fútbol, Pileta Techada, pista de atletismo, Cancha de Rugby"
CLUB ATLETICO SPORTING,CLUB DEPORTIVO,3.0707467092E10,GUALEGUAYCHÚ,GUALEGUAYCHÚ,3.446435315E9,3.446580285E9,club_sportinggchu@outlook.com,CORRIENTES,377.0,,,,@clubatleticosporting,Club Atlético Sporting,"Fútbol, Hockey césped, Bochas",SIN DATOS,SIN DATOS,-33.0034049157505,-58.5236097636917,"Cancha de Fútbol, SUM, cancha de bochas"
CLUB ATLETICO LA VENCEDORA,CLUB DEPORTIVO,3.0671094014E10,GUALEGUAYCHÚ,GUALEGUAYCHÚ,3.446631546E9,3.4464226E9,herny93@hotmail.com,JUAN JOSE FRANCO Y SANTA FE,1193.0,,,,@lavencedora,Club Atletico La Vencedora,Boxeo,SIN DATOS,SIN DATOS,-33.00299,-58.52244,"Cancha Techada, Gimnasio"
SHOSHINSHA DOJO,PRIVADO,SIN CUIT 047,GUALEGUAYCHÚ,GUALEGUAYCHÚ,,,,,,,,,https://www.instagram.com/karategualeguaychu/,https://www.facebook.com/Dojoacademiadeartemarcial/,Artes Marciales/deportes de contacto,SIN DATOS,SIN DATOS,-33.0023835447171,-58.5411092177385,SUM
CLUB SOCIAL Y DEPORTIVO TIGRE,CLUB DEPORTIVO,3.0716442922E10,GUALEGUAYCHÚ,GUALEGUAYCHÚ,3.446627264E9,3.446311895E9,clubtigre02@gmail.com,VICTORIA,519.0,,,,@clubtigre,Club Tigre,"Fútbol, Voley, Futsal, Bochas",SI,SIN DATOS,-33.0007463203642,-58.5079034316373,"SUM, Cancha Techada"
POLIDEPORTIVO MUNICIPAL SUBURBIO DEL NORTE,POLIDEPORTIVO MUNICIPAL,SIN CUIT 063,GUALEGUAYCHÚ,GUALEGUAYCHÚ,3.4464204E9,,,,,,,https://gualeguaychu.gov.ar/,@munigchu,,"OTROS, Fútbol, Patinaje artístico, Hockey césped, Básquet , Hockey sobre patines, Handball",SIN DATOS,SIN DATOS,-32.9984116482168,-58.5091267576725,"Cancha Techada, Cancha de Hockey, Otros, cancha de basquet, Cancha hockey cesped"
CLUB SOCIAL Y DEPORTIVO JUVENIL DEL NORTE,CLUB DEPORTIVO,3.0708238542E10,GUALEGUAYCHÚ,GUALEGUAYCHÚ,,,,2 DE ABRIL Y PUERTO ARGENTINO,,,,,@juvenil_delnorte,Facebook Club Social y Juvenil del Norte,"Fútbol, Futsal, Voley, Hockey césped",SIN DATOS,SIN DATOS,-32.9968036273572,-58.5253150072061,"Cancha de Fútbol, Cancha Techada"
"CLUB SOCIAL, DEPORTIVO Y CULTURAL LA CUCHIMARRA",CLUB DEPORTIVO,SIN CUIT 064,GUALEGUAYCHÚ,GUALEGUAYCHÚ,,,,,,,,https://www.eldiaonline.com/la-cuchimarra-presento-su-nuevo-salon-multiusos-los-vecinos-la-cuchilla-n369805,,https://www.facebook.com/lacuchimarra.gualeguaychu?locale=es_LA,"Fútbol, Básquet, Voley",SIN DATOS,SIN DATOS,-32.9936917226441,-58.5099929300085,"SUM, Otros"
"PREDIO DE LA CAJA MUNICIPAL DE PENSIONES, JUBILACIONES Y RETIRO",CLUB DEPORTIVO,3.067105805E10,GUALEGUAYCHÚ,GUALEGUAYCHÚ,,,,,,,,https://cajamunicipalgchu.gob.ar/,,,"Natación, Voley",SIN DATOS,SIN DATOS,-32.988750521263,-58.5513686576725,"Pileta Descubierta, Otros, SUM, Cajon de arena"
CLUB ATLETICO SOCIAL Y DEPORTIVO ALDEA ASUNCIÓN,CLUB DEPORTIVO,SIN CUIT 071,ALDEA ASUNCIÓN,GUALEGUAY,,,,,,,,,https://www.instagram.com/clubaldeasuncion/,https://www.facebook.com/p/Club-Atl%C3%A9tico-Social-y-Deportivo-Aldea-Asunci%C3%B3n-100066697324684/,"Fútbol, Voley",SI,ACCESO ADECUADO,-32.8432696386648,-59.2286672342351,"Cancha de Fútbol, SUM"
COMPLEJO POLIDEPORTIVO MUNICIPAL (GRAL. GALARZA),POLIDEPORTIVO MUNICIPAL,SIN CUIT 012,GENERAL GALARZA,GUALEGUAY,,,,,,,,https://www.entrerios.tur.ar/alojamientos/complejo-polideportivo-municipal-(gneral.-galarza),,https://www.facebook.com/p/Complejo-Polideportivo-Municipal-General-Galarza-100076234890540/,"Básquet , Atletismo, Rugby, Gimnasia Artística, Natación, Fútbol, Tenis",SIN DATOS,SIN DATOS,-32.7280496998338,-59.3926261758205,"Otros, Cancha Techada, Pileta Descubierta, cancha de tenis, Cancha de Fútbol, Cancha de Rugby"
LA ACADEMIA ASOCIACION DEPORTIVA,CLUB DEPORTIVO,3.0708689129E10,GENERAL GALARZA,GUALEGUAY,3.43621504E9,3.444572627E9,emosquito@yahoo.com.ar,SAN JOSÉ,102.0,,,,@clubacademia_oficial,,"Fútbol, Fitness",SIN DATOS,SIN DATOS,-32.71691,-59.39024,"Cancha de Fútbol, Otros"
ASOCIACIÓN TRADICIONALISTA EL RODEO,CLUB DEPORTIVO,3.0671100618E10,URDINARRAIN,GUALEGUAYCHÚ,,,,,,,,,https://www.instagram.com/club_elrodeo/,,Fútbol,,SIN DATOS,-32.7001231904412,-58.8959130576723,"Cancha de Fútbol, SUM"
CLUB DE PLANEADORES DE URDINARRAIN,CLUB DEPORTIVO,3.0671101843E10,URDINARRAIN,GUALEGUAYCHÚ,,,,,,,,,https://www.instagram.com/aeroclub_urdinarrain/,https://www.facebook.com/groups/24509557798/,"Aviación, Pesca, Náuticos",,SIN DATOS,-32.6932530288123,-58.8965846288361,Otros
JOCKEY CLUB URDINARRAIN,CLUB DEPORTIVO,3.0616303615E10,URDINARRAIN,GUALEGUAYCHÚ,,,,,,,,,,,Hipismo,,SIN DATOS,-32.6890633795432,-58.8858132338622,
CLUB ATLETICO JUVENTUD URDINARRAIN,CLUB DEPORTIVO,3.3671081639E10,URDINARRAIN,GUALEGUAYCHÚ,3.446478231E9,3.44662344E9,josesaintpaul@yahoo.com.ar,BVARD. RIVADAVIA Y PERTEGARINI,S/N,,,www.club-atletico-juventud-urdinarrain.jimdosite.com/,@clubjuventudurdi,Club Juventud Urdinarrain,"Fútbol, Natación, Tenis, Bochas",SIN DATOS,SIN DATOS,-32.6884687159898,-58.8805281912987,"Cancha de Fútbol, Pileta Descubierta, Otros, cancha de bochas, Cajon de arena"
CLUB DEPORTIVO URDINARRAIN,CLUB DEPORTIVO,3.0629244308E10,URDINARRAIN,GUALEGUAYCHÚ,3.446480401E9,3.44663415E9,clubdeportivourdinarrain@gmail.com,JUSTICIA,343.0,,,,@deportivoURDINARRAIN,Deportivo URDINARRAIN,"Fútbol, Natación, Voley, Tenis",SIN DATOS,SIN DATOS,-32.6869144301139,-58.8960784200182,"Cancha de Fútbol, Pileta Descubierta, cancha de tenis"
OLIMPIA CLUB,CLUB DEPORTIVO,3.0671077888E10,URDINARRAIN,GUALEGUAYCHÚ,3.446595218E9,3.446632379E9,ivanaspiazzi@hotmail.com,JUAN CARLOS PATRIARCA,457.0,,,,@elolimpia,,"Básquet , Voley, Patinaje artístico, Bochas",SIN DATOS,SIN DATOS,-32.6863204783837,-58.8876909386296,"Cancha Techada, cancha de basquet, cancha de bochas"
CLUB SOCIAL Y DEPORTIVO LUIS LUCIANO,CLUB DEPORTIVO,3.0710148437E10,URDINARRAIN,GUALEGUAYCHÚ,3.44647852E9,3.445481475E9,clubluciano@gmail.com,PODESTA,225.0,,,www.clubluciano.com/,@clubluisluciano,,Básquet,SIN DATOS,SIN DATOS,-32.6839429647615,-58.8924604140394,"Cancha Techada, cancha de basquet, SUM"
CLUB BANCARIO URDINARRAIN,CLUB DEPORTIVO,3.0714219908E10,URDINARRAIN,GUALEGUAYCHÚ,3.44663376E9,3.44648099E9,agrocentro@urdi.com.ar,RUTA 20 Y ACC A URDINARRAIN,1.0,,,,,,Fútbol,SI,"ACCESO ADECUADO, PUERTAS ACCESIBLES, ANCHO DE PASILLOS, SANITARIOS ACCESIBLES, CAMINOS Y VEREDAS",-32.6747377114096,-58.8802880540975,Cancha de Fútbol
POLIDEPORTIVO URDINARRAIN,POLIDEPORTIVO MUNICIPAL,SIN CUIT 090,URDINARRAIN,GUALEGUAYCHÚ,3.446549292E9,,deportes@urdinarrain.gob.ar,,,,,,,https://www.facebook.com/DeportesyJuventudUrdi/?locale=es_LA,"Fútbol, Básquet , Hockey césped, Atletismo",SI,SIN DATOS,-32.6736937764015,-58.8854757999999,"Cancha de Hockey, cancha de basquet, pista de atletismo, Otros, Cancha hockey cesped"
CLUB ATLETICO COLONIA ELÍA,CLUB DEPORTIVO,3.0670799375E10,COLONIA ELÍA,URUGUAY,3.442449026E9,3.442403151E9,negrocelia@hotmail.com,RUTA 42 Y BV Nº 1,S/N,,,,"@caceCOLÓNiaelia
https://www.instagram.com/hockey_cace_oficial/",https://www.facebook.com/cace.cace.3/?locale=es_LA,"Fútbol, Hockey césped",SIN DATOS,SIN DATOS,-32.6651278069941,-58.3247004470018,"Cancha de Fútbol, SUM"
ASOCIACIÓN CIVIL Y DEPORTIVA 5TO CUARTEL,CLUB DEPORTIVO,3.0711825394E10,VICTORIA,VICTORIA,,,,REGGIARDO Y PREFECTURA NAVAL ARG.,,,,,@5tocuartel,Asociación Quinto Cuartel,Fútbol,SIN DATOS,SIN DATOS,-32.64279,-60.14524,
CLUB AGRARIO SOCIAL Y DEPORTIVO ROCAMORA,CLUB DEPORTIVO,3.0708859717E10,COLONIA ELÍA,URUGUAY,3.442646171E9,3.44242421E9,agrario1961@gmail.com,COLONIA EL SAUCE 0 COLONIA OFICIAL Nº 6,0.0,,,,@agrario.rocamora,,Fútbol,SIN DATOS,SIN DATOS,-32.63911,-58.45222,"Cancha de Fútbol, SUM"
ROWING CLUB VICTORIA,CLUB DEPORTIVO,3.0589719871E10,VICTORIA,VICTORIA,,1.156061095E9,ecornalo@edcargo.com,BV. BELGRANO- ZONA PUERTO,S/N,,,,https://www.instagram.com/rowingclubvic/,Rowing Club Victoria,"Tenis, Natación, padel, Pelota paleta",SIN DATOS,SIN DATOS,-32.6319653971786,-60.1610536623489,"Pileta Descubierta, cancha de tenis, cancha de pelota, cancha de padel"
CLUB DE PESCADORES VICTORIA CAZA Y NAUTICA,CLUB DEPORTIVO,3.0572350793E10,VICTORIA,VICTORIA,3.43642276E9,3.436433143E9,clubdepescadoresvictoria@hotmail.com,AVENIDA DR. PEDRO RADIO,S/N,,,,@clubpescadoresvictoria,Club Pescadores Náutica Victoria,"Náuticos, Pesca",SIN DATOS,SIN DATOS,-32.6286656473762,-60.1670529335127,"Otros, SUM, Cajon de arena"
CLUB ATLETICO SARMIENTO,CLUB DEPORTIVO,3.0616713821E10,VICTORIA,VICTORIA,3.436421065E9,3.436612909E9,martinvechetti@gmail.com,CHACABUCO,247.0,Cancha de futbol,"-32.63015307756359, -60.15679173423513",,https://www.instagram.com/cas.sarmiento/,Club Sarmiento Victoria,"Patinaje artístico, Fútbol, Básquet , Handball, Hockey césped, Bochas",SIN DATOS,SIN DATOS,-32.6260586077151,-60.1552236128373,"Cancha de Fútbol, cancha de basquet, Cancha Techada, Otros, cancha de bochas, SUM"
CLUB ATLETICO EL PORVENIR,CLUB DEPORTIVO,3.0690475851E10,VICTORIA,VICTORIA,,,,MAIPU,199.0,Cancha de futbol,"-32.617495901573506, -60.166987728163036",,https://www.instagram.com/el.porvenir.vic/,https://www.facebook.com/caepvictoriaer/?locale=es_LA,Fútbol,SIN DATOS,SIN DATOS,-32.6242364800143,-60.1546851046768,"Cancha de Fútbol, SUM"
CLUB SOCIAL VICTORIA,CLUB DEPORTIVO,3.0700140667E10,VICTORIA,VICTORIA,3.436421788E9,,clubsocialvictoria@hotmail.com,TOMAS DE ROCAMORA,401.0,,,,,Club Social Victoria,,SIN DATOS,SIN DATOS,-32.6221837303654,-60.158094985603,SUM
SOCIAL Y DEPORTIVO SAN ANTONIO,CLUB DEPORTIVO,3.0671078949E10,ALDEA SAN ANTONIO,GUALEGUAYCHÚ,3.446504787E9,3.446571556E9,nahuel-sittner@hotmail.com,SAN MARTIN,605.0,,,,@clubsdsanantonio,Club Social y Dep San Antonio,Fútbol,SIN DATOS,SIN DATOS,-32.6216552106111,-58.7070603335133,"Cancha de Fútbol, SUM, Pileta Techada"
POLIDEPORTIVO MUNICIPAL PROF. DANIEL HEIDENREICH,POLIDEPORTIVO MUNICIPAL,SIN CUIT 087,ALDEA SAN ANTONIO,GUALEGUAYCHÚ,,,,,,,,,,,"Fútbol, Hockey césped, Tenis, padel, Básquet",SIN DATOS,SIN DATOS,-32.6210401998911,-58.7084525963662,"Cancha de Fútbol, Cancha de Hockey, cancha de tenis, cancha de padel, Otros, Cajon de arena, Cancha hockey cesped"
CLUB GIMNASIA Y ESGRIMA,CLUB DEPORTIVO,3.0690462237E10,VICTORIA,VICTORIA,,,,ANGEL BALBI Y JUNIN,,,,,https://www.instagram.com/clubgimnasiavictoria/,,Fútbol,SIN DATOS,SIN DATOS,-32.6198887808578,-60.1630925232974,SUM
CLUB DEPORTIVO 25 DE MAYO,CLUB DEPORTIVO,3.0585111291E10,VICTORIA,VICTORIA,3.436421448E9,3.43661518E9,Clubdep25demayovictoria@hotmail.com,J.J URQUIZA,5.0,Cancha de futbol,"-32.62224840661925, -60.14252492603013",,@club25demayovic,https://www.facebook.com/club25demayo/?ref=_xav_ig_profile_page_web#,"Fútbol, Natación, Básquet , Patinaje artístico, Voley, Handball, Hockey césped",SIN DATOS,SIN DATOS,-32.6191171760026,-60.1539083046772,"Cancha de Fútbol, Pileta Descubierta, cancha de basquet, Gimnasio, Cancha Techada"
CLUB ATLÉTICO NEWELL'S OLD BOYS,CLUB DEPORTIVO,3.0690461931E10,VICTORIA,VICTORIA,3.436414476E9,3.436414476E9,nobvictoria1932@gmail.com,IRIGOYEN Y HERNANDARIAS,,Cancha de futbol,"-32.61491291906082, -60.12750719379347",,,Club Newells Victoria,"Futsal, Bochas, Fútbol",SIN DATOS,SIN DATOS,-32.6174486523478,-60.1441460937934,"Cancha de Fútbol, Otros, cancha de bochas, SUM"
CLUB ATLÉTICO HURACÁN,CLUB DEPORTIVO,3.0707452214E10,VICTORIA,VICTORIA,3.436424619E9,3.436455105E9,clubhuracanglobo@gmail.com,URQUIZA,195.0,Cancha de futbol,"-32.605295461902536, -60.14682814780441",,,Club Huracán Victoria,"Fútbol, Softbol",SIN DATOS,SIN DATOS,-32.6164686470365,-60.1566928065311,"Cancha de Fútbol, Otros, SUM"
CLUB ATLETICO LIBERTAD,CLUB DEPORTIVO,3.0707311505E10,VICTORIA,VICTORIA,,,,LIBERTAD,2254.0,,,,,Club Atlético Libertad,"Fútbol, padel, Fitness",SIN DATOS,SIN DATOS,-32.616435710121,-60.1618158335135,"Cancha de Fútbol, cancha de padel, Cancha Techada, SUM, Gimnasio"
CLUB SPORTIVO VICTORIA,CLUB DEPORTIVO,3.0710258844E10,VICTORIA,VICTORIA,3.436425005E9,3.436496281E9,clubsportivovictoria1933@gmail.com,25 DE MAYO Y GUEMES,0.0,Cancha de futbol,"-32.595003558451694, -60.165527726308355",,@clubsportivovictoria,Club Sportivo Victoria,Fútbol,SIN DATOS,SIN DATOS,-32.6159966403405,-60.1596913776949,"Cancha de Fútbol, SUM"
CLUB ATLETICO BANFIELD,CLUB DEPORTIVO,3.0690462091E10,VICTORIA,VICTORIA,,,,GÜEMES Y LOPEZ JORDAN,,,,,@eltaladrovictoria,,Fútbol,SIN DATOS,SIN DATOS,-32.6138607569777,-60.1565663739872,SUM
CLUB ATLETICO MANSILLA CULTURAL Y RECREATIVO,CLUB DEPORTIVO,3.0707072519E10,GOBERNADOR MANSILLA,TALA,3.445476111E9,3.445457548E9,mtku_2_2@hotmail.com,AVENIDA SAN MARTIN,168.0,Cancha de futbol y pileta,"-32.53959807690034, -59.356256239799194",,@clubatleticomansilla,https://www.facebook.com/clubatleticomansilla.cam/,"Fútbol, Natación, Voley, Bochas",SIN DATOS,SIN DATOS,-32.5430838696508,-59.3588206937934,"Cancha de Fútbol, Pileta Descubierta, cancha de bochas, Cancha Techada, Otros, cancha de padel, Cajon de arena"
CLUB CULTURAL Y DEPORTIVO FERROCARRIL SAN LORENZO,CLUB DEPORTIVO,3.0670952963E10,GOBERNADOR MANSILLA,TALA,3.445532762E9,3.445493173E9,rominazayas_23@hotmail.com,43976.0,259.0,Cancha de futbol,"-32.54320228227997, -59.35499538212642",,https://www.instagram.com/clubferro.mansilla/?hl=es-la,https://www.facebook.com/futbolclubferromansilla/?locale=es_LA,"Fútbol, Voley",SIN DATOS,SIN DATOS,-32.5425813761105,-59.3570804488629,"Cancha Techada, SUM, Cancha de Fútbol"
CLUB UNIVERSITARIO DE CONCEPCIÓN DEL URUGUAY,PRIVADO,3.0584849513E10,CONCEPCIÓN DEL URUGUAY,URUGUAY,3.442423389E9,1.140867554E9,comisioncucu@gmail.com,BARRIO HIPODROMO,S/N,,,www.ar.digitalgolftour.com/universitario,@cucurugby,"https://www.facebook.com/cucurugby/?locale=es_LA
https://www.facebook.com/cucugolf/posts/pfbid02nsDAhDRUBWB93YzBS9zU594z6tQXmtr2hT1aan9MMRhRxBejodMr54U6Tj7bEaKal?ref=embed_page","Rugby, Golf",SIN DATOS,SIN DATOS,-32.4994890567463,-58.3267377288362,"Campo de Golf, Cancha de Rugby, SUM"
UNIVERSIDAD TECNOLÓGICA NACIONAL (UTN),PREDIO UNIVERSITARIO,3.0546671166E10,CONCEPCIÓN DEL URUGUAY,URUGUAY,,,,,,,,www.frcon.utn.edu.ar/deportes/,,,,SIN DATOS,SIN DATOS,-32.4957004606047,-58.2292305263083,
CLUB PARQUE SUR,CLUB DEPORTIVO,3.0650133559E10,CONCEPCIÓN DEL URUGUAY,URUGUAY,3.44245051E9,3.442624042E9,clubparquesur@yahoo.com.ar,COCHABAMBA,581.0,,,,@club.parquesur,https://www.facebook.com/ClubParqueSur.SitioOficial/?locale=es_LA,"Fútbol, Básquet, Náuticos, Natación, Hockey césped",SIN DATOS,SIN DATOS,-32.4954293986971,-58.2280990358471,"cancha de basquet, Cancha de Fútbol, Cancha Techada, Otros, Pileta Techada"
ACADEMIA DE BOXEO AMILCAR BRUSA,PRIVADO,SIN CUIT 033,CONCEPCIÓN DEL URUGUAY,URUGUAY,,,,,,,,,https://www.instagram.com/academia_d_boxeo_amilcar_brusa/,https://www.facebook.com/academiadeboxeoamilcarbrusa/,Boxeo,SIN DATOS,SIN DATOS,-32.4948003789175,-58.2287602668081,"Cancha Techada, Gimnasio"
CLUB SOCIAL Y DEPORTIVO MARÍA AUXILIADORA,CLUB DEPORTIVO,3.0701846261E10,CONCEPCIÓN DEL URUGUAY,URUGUAY,3.442441364E9,3.442419904E9,miguelessilvia68@gmail.com,SUIPACHA Y 28 DEL OESTE SUR,S/N,,,,@clubmariaauxiliadora,https://www.facebook.com/p/Club-Social-y-Deportivo-Maria-Auxiliadora-100027974693495/?locale=es_LA,Fútbol,SIN DATOS,SIN DATOS,-32.4946275435996,-58.2709287046065,Cancha de Fútbol
CLUB REPUBLICA DE ITALIA,CLUB DEPORTIVO,3.0716280442E10,CONCEPCIÓN DEL URUGUAY,URUGUAY,3.442433788E9,3.442660809E9,clubrcadeitalia@gmail.com,COLONIA PERFECCIÓN SUR CALLE PULIBA,C/N,,,,"@natacion.cri
https://www.instagram.com/hockeytano/",https://www.facebook.com/clubrcadeitalia/,"Natación, Hockey césped, Fútbol",SIN DATOS,SIN DATOS,-32.4936688835232,-58.2944720287603,"Pileta Techada, Cancha de Hockey, Cancha de Fútbol, Cancha hockey cesped"
CLUB SUB OFICIALES ITAPÉ,CLUB DEPORTIVO,3.0708247266E10,CONCEPCIÓN DEL URUGUAY,URUGUAY,3.442436743E9,3.442553456E9,veronicagomez@hotmai.com,SUIPACHA Y BVARD. ARAOZ,S/N,,,,,,"Tenis, Rugby, Pelota paleta",SIN DATOS,SIN DATOS,-32.4922084861217,-58.2486903046066,"cancha de tenis, Pileta Descubierta, SUM, cancha de pelota"
PLAYON LA CONCEPCIÓN - PARQUE 21,POLIDEPORTIVO MUNICIPAL,SIN CUIT 023,CONCEPCIÓN DEL URUGUAY,URUGUAY,,,,,,,,,,,Deportes Urbanos,SIN DATOS,SIN DATOS,-32.4919718907953,-58.2337205342715,Otros
CLUB SPORTING CONCEPCIÓN,CLUB DEPORTIVO,3.0712038604E10,CONCEPCIÓN DEL URUGUAY,URUGUAY,3.442418543E9,3.442566989E9,clubsportingconcepcioncdelu@gmail.com,RIVADAVIA Y 25 DE AGOSTO,3.44215418543E11,,,,@clubsportingconcepcion,https://www.facebook.com/ClubSportingCdelU/,"Fitness, Artes Marciales/deportes de contacto, Fútbol",SIN DATOS,SIN DATOS,-32.4915450132473,-58.2348024349461,"SUM, Otros"
ÔKAMI - ARTES MARCIALES,PRIVADO,SIN CUIT 058,CONCEPCIÓN DEL URUGUAY,URUGUAY,,,,,,,,,,https://www.facebook.com/Okamimarcial?locale=es_LA,Artes Marciales/deportes de contacto,SIN DATOS,SIN DATOS,-32.4896313056934,-58.2593382067454,SUM
CLUB SOCIAL Y DEPORTIVO BAJADA GRANDE,CLUB DEPORTIVO,3.0708303166E10,CONCEPCIÓN DEL URUGUAY,URUGUAY,3.442485401E9,3.442621162E9,clubsocialydeportivobajadagrande@hotmail.com.ar,SAN MARTIN,2220.0,,,,@bajadagrande.voley,,"Básquet , Voley, Bochas, Patinaje artístico, Artes Marciales/deportes de contacto",SIN DATOS,SIN DATOS,-32.4896152582205,-58.2581979114708,Cancha Techada
GIMNASIA Y ESGRIMA FOOT BALL CLUB,CLUB DEPORTIVO,3.3624933929E10,CONCEPCIÓN DEL URUGUAY,URUGUAY,3.442476869E9,3.442476869E9,alibles@hotmail.com,21 DE NOVIEMBRE,214.0,,,,https://www.instagram.com/clubgimnasiacdelu/?hl=es,https://www.facebook.com/clubgimnasiacdelu/?ref=_xav_ig_profile_page_web#,Fútbol,SIN DATOS,SIN DATOS,-32.4881294796742,-58.2345643791088,"Cancha de Fútbol, SUM"
CLUB SOCIAL CULTURAL Y DEPORTIVO ALMAFUERTE,CLUB DEPORTIVO,3.0708298774E10,CONCEPCIÓN DEL URUGUAY,URUGUAY,3.442423331E9,3.44254304E9,leonardo_saldivia@hotmail.com,ROSARIO Y EREÑO,338.0,,,,@clubalmafuertecdelu,https://www.facebook.com/clubalmafuerteoficial/,Básquet,SIN DATOS,SIN DATOS,-32.4870706859942,-58.2253843473842,"cancha de basquet, Cancha Techada, SUM"
CLUB ATLETICO SAN MARTIN,CLUB DEPORTIVO,3.0670772523E10,CONCEPCIÓN DEL URUGUAY,URUGUAY,3.442423035E9,3.442441805E9,clubsanmartincdelu@gmail.com,SAN MARTÍN,1201.0,,,,,https://www.facebook.com/p/CLUB-SAN-martin-100054631321444/?locale=es_LA,"Patinaje artístico, Boxeo, Fitness, Voley",SIN DATOS,SIN DATOS,-32.4868959810859,-58.2404774084837,"SUM, Cancha Techada, Otros"
